date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:52	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:52%20GMT	https://maharshi98patel.wixsite.com/arish-technology/7d94280d.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/7d94280d.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:52	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:52%20GMT	https://maharshi98patel.wixsite.com/arish-technology/f36661fb.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/f36661fb.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:52	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:52%20GMT	https://maharshi98patel.wixsite.com/arish-technology/aa613bd1.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/aa613bd1.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:52	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:52%20GMT	https://maharshi98patel.wixsite.com/arish-technology/22ef40bf.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/22ef40bf.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:53	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:52%20GMT	https://maharshi98patel.wixsite.com/arish-technology/6daaad8b.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/6daaad8b.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:53	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:53%20GMT	https://maharshi98patel.wixsite.com/arish-technology/bf91693c.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/bf91693c.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:53	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:53%20GMT	https://maharshi98patel.wixsite.com/arish-technology/b4ae8803.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/b4ae8803.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:54	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:53%20GMT	https://maharshi98patel.wixsite.com/arish-technology/62ccedec.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/62ccedec.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:54	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:53%20GMT	https://maharshi98patel.wixsite.com/arish-technology/ae08c227.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/ae08c227.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:54	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:54%20GMT	https://maharshi98patel.wixsite.com/arish-technology/11f27093.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/11f27093.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
